game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It
007: quantum of solace,76.0,69.0,Treyarch,"wii, playstation-3, xbox-360, pc, playstation-2",5.0,5737.83,2008,Action,Activision,1.84,1.35,0.04,0.68,3.91,65,21.09,67.19,1.56,10.16,0.0,0.0,3.23,0.0,29.03,1.08,18.28,5.38,7.53,2.15,33.33,50.0,21.57,3.27,11.76,13.4
100 classic books,11.0,7.0,Genius Sonority Inc.,ds,1.0,3008.0,2008,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67,70,14.55,16.36,67.27,1.82,0.0,7.41,74.07,0.0,3.7,3.7,7.41,0.0,0.0,3.7,0.0,12.59,8.89,4.44,36.3,37.78
101-in-1 explosive megamix,4.0,13.0,Nordcurrent,"wii, ds",2.0,7712.0,2008,Puzzle,Nordcurrent,0.05,0.13,0.0,0.02,0.1999999999999999,46,52.63,36.84,5.26,0.0,5.26,0.0,0.0,0.0,18.18,9.09,18.18,27.27,0.0,0.0,27.27,34.15,9.76,7.32,31.71,17.07
1701 a.d.,26.0,30.0,Related Designs,pc,1.0,5843.0,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.05,0.3,79,3.03,81.82,3.03,9.09,3.03,0.0,33.33,0.0,6.67,0.0,13.33,0.0,20.0,20.0,6.67,25.0,10.71,10.71,42.86,10.71
18 wheeler: american pro trucker,5.0,17.0,Acclaim Studios Cheltenham,"playstation-2, gamecube, dreamcast",3.0,7454.5,2001,Racing,Acclaim Entertainment,0.29,0.1699999999999999,0.0,0.05,0.51,52,18.18,67.53,2.6,11.69,0.0,9.62,3.85,7.69,11.54,13.46,15.38,11.54,3.85,0.0,23.08,33.09,14.71,8.09,22.06,22.06
2002 fifa world cup,14.0,19.0,EA Sports,"pc, playstation-2, xbox, gamecube, playstation",5.0,8174.33,2002,Sports,Electronic Arts,0.39,0.22,0.16,0.0699999999999999,0.84,73,53.13,31.25,6.25,3.13,6.25,0.0,19.23,3.85,11.54,0.0,7.69,7.69,11.54,23.08,15.38,32.0,36.0,2.0,16.0,14.0
2010 fifa world cup south africa,52.0,61.0,Electronic Arts,"wii, playstation-3, xbox-360, psp",4.0,3169.5,2010,Sports,Electronic Arts,0.94,1.46,0.13,0.47,3.0,83,20.22,65.17,4.49,10.11,0.0,0.0,15.69,0.0,11.76,7.84,33.33,5.88,13.73,3.92,7.84,31.87,18.13,7.5,26.88,15.63
2014 fifa world cup brazil,119.0,33.0,EA Canada,"playstation-3, xbox-360",2.0,3536.5,2014,Sports,Electronic Arts,0.29,0.67,0.01,0.2,1.1700000000000002,73,8.51,80.85,4.26,6.38,0.0,3.7,7.41,0.0,11.11,3.7,33.33,3.7,25.93,3.7,7.41,27.69,16.92,10.77,36.92,7.69
24: the game,28.0,53.0,SCE Studio Cambridge,playstation-2,1.0,5861.0,2006,Adventure,Sony,0.15,0.12,0.0,0.04,0.31,62,11.63,69.77,0.0,17.44,1.16,0.0,1.82,0.0,34.55,0.0,25.45,5.45,10.91,1.82,20.0,45.0,17.78,3.33,15.56,18.33
25 to life,24.0,23.0,Ritual Entertainment,"pc, playstation-2",2.0,6504.5,2006,Shooter,Eidos Interactive,0.47,0.05,0.0,0.0699999999999999,0.59,39,18.0,60.0,6.0,12.0,4.0,2.78,0.0,0.0,30.56,5.56,2.78,25.0,2.78,5.56,25.0,50.67,18.67,5.33,10.67,14.67
300: march to glory,29.0,31.0,Collision Studios,psp,1.0,4712.0,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,55,9.26,62.96,7.41,12.96,7.41,0.0,8.57,0.0,20.0,0.0,20.0,5.71,2.86,2.86,40.0,26.47,23.53,2.94,25.49,21.57
3d dot game heroes,76.0,66.0,Silicon Studio,playstation-3,1.0,3533.0,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.5800000000000001,77,7.61,60.6,0.45,29.7,1.64,0.0,5.54,0.37,11.44,0.74,31.37,0.0,38.75,9.23,2.58,25.76,8.63,18.97,28.78,17.86
